month,lead_organisation,organisation_type,donor,sector,education_level,indicator,activity,implementing_partner,county,sub_county,names_numbers_schools,start_date,end_date,activity_status,boys,girls,men,women,beneficiary_type,total_reached,comments,source,schools,adm1_pcode,indicator_short,sector_reached
May,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Mentorship support,Women Educational Researchers of Kenya,Tana River,"Tana River, Tana North, Bangal",NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,1320,2449,NA,NA,NA,3769,mentorship sessions  for OOSC brought back to school,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE004,6. Children resilience enhancing,3769
May,UNICEF,United Nations,EAC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",MHPSS support to OOSC,Women Educational Researchers of Kenya,Kajiado,NA,NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,910,2378,NA,NA,Vulnerable Residents,3288,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE034,6. Children resilience enhancing,3288
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,School enrolment,Women Educational Researchers of Kenya,Kajiado,NA,NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,987,939,NA,NA,Vulnerable Residents,1926,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE034,1. Access ECD spaces/schools,1926
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,School enrolment,Women Educational Researchers of Kenya,Kwale,NA,NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,200,159,NA,NA,Vulnerable Residents,359,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE002,1. Access ECD spaces/schools,359
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,School enrolment,Women Educational Researchers of Kenya,Kilifi,NA,NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,52,37,NA,NA,Vulnerable Residents,89,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE003,1. Access ECD spaces/schools,89
May,UNICEF,United Nations,EAC,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,School enrolment,Women Educational Researchers of Kenya,Narok,NA,NA,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,102,98,NA,NA,Vulnerable Residents,200,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,NA,KE033,1. Access ECD spaces/schools,200
May,Food for the Hungry,International NGO,FHUSA,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,"Provision of school food- Rice, beans and cooking oil",Food for the Hungry,Meru,Buuri East,23,2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,2645,2521,125,210,Vulnerable Residents,5501,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,23,KE012,2. Feeding programmes,5501
May,Food for the Hungry,International NGO,FHUSA,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,"Provision of school food- Rice, beans and cooking oil",Food for the Hungry,Meru,Tigania West,"Lailangi, Laaria, Mumui, Rei and Victor Besone Pri Sch",2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,524,533,32,31,Vulnerable Residents,1120,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,5,KE012,2. Feeding programmes,1120
May,Food for the Hungry,International NGO,FHUK,Education,ECE,indicator 3 # of learners and teachers reached with learning and  teaching materials,"Provision of Pre-primary worktables and seats, workbooks and assessment rubrics",Food for the Hungry,Meru,Buuri East,22,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,430,367,NA,NA,Vulnerable Residents,797,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,22,KE012,3. Teaching materials,0
May,Food for the Hungry,International NGO,FHUK,Education,ECE,indicator 3 # of learners and teachers reached with learning and  teaching materials,"Provision of Pre-primary worktables and seats, workbooks and assessment rubrics",Food for the Hungry,Meru,Tigania West,"Lailangi, Laaria, Mumui, Rei and Victor Besone Pri Sch",2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,89,99,NA,NA,Vulnerable Residents,188,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,5,KE012,3. Teaching materials,0
May,Food for the Hungry,International NGO,FHUK,Education,ECE,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Installation of gutters and water tanks for RWH,Food for the Hungry,Meru,Buuri East,Nchoroiboro and Rwarera Pri,2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,308,321,10,11,Vulnerable Residents,650,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,2,KE012,"4. Safe water, personal hygiene",0
May,Food for the Hungry,International NGO,FHUK,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,"Provision of school food- Rice, beans and cooking oil",Food for the Hungry,Marsabit,Marsabit North,20,2023-03-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,2935,3247,NA,NA,Vulnerable Residents,6182,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,20,KE010,2. Feeding programmes,6182
May,Food for the Hungry,International NGO,FHUK,Education,ECE & Primary,indicator 3 # of learners and teachers reached with learning and  teaching materials,Provision of school uniform,Food for the Hungry,Marsabit,Marsabit North,"Bubisa, Turbi Nomadic, Elgade, Kalacha Nomadic, Kargi, Kurkum and Ririba",2023-03-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,593,1758,NA,NA,Vulnerable Residents,2351,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,7,KE010,3. Teaching materials,0
May,Food for the Hungry,International NGO,FHUK,Education,Primary,indicator 3 # of learners and teachers reached with learning and  teaching materials,Provision of dignity kits,Food for the Hungry,Marsabit,Marsabit North,20,2023-02-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,800,NA,NA,Vulnerable Residents,800,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,20,KE010,3. Teaching materials,0
May,Food for the Hungry,International NGO,FHUK,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Education coordination forum,Food for the Hungry,Marsabit,Loiyangalani,"Kargi, Haadad, Gangeisa, MOHI and Kurkum",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,23,7,Vulnerable Residents,30,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,5,KE010,5. Educators resilience enhancing,30
May,Food for the Hungry,International NGO,FHUK,Education,Secondary,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Installation of roof water harvesting structures,Food for the Hungry,Marsabit,Marsabit North,Kalacha Boys High School,2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,86,NA,NA,NA,Vulnerable Residents,86,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,1,KE010,"4. Safe water, personal hygiene",0
May,Food for the Hungry,International NGO,FHUK,Education,Primary,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Construction of latrines in school,Food for the Hungry,Marsabit,Marsabit North,Balesa,2023-04-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,269,NA,NA,NA,Vulnerable Residents,269,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,1,KE010,"4. Safe water, personal hygiene",0
May,Finn Church Aid,International NGO,UNHCR,Education,ECE,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,ECE Learners supported to access schools,Finn Church Aid,Turkana,Turkana West,"Morning Star, Settlement, Friends, Joy, Future, Bright, Nationokar & Esikiriat ECE Centres",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,2146,2027,NA,NA,Vulnerable Residents,4173,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,8,KE023,1. Access ECD spaces/schools,4173
May,Finn Church Aid,International NGO,UNHCR,Education,Primary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Primary Learners supported to access schools,Finn Church Aid,Turkana,Turkana West,"Morning Star, Settlement, Friends, Joy, Future, Bright, Nationokar & Esikiriat ECE Primary Schools",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,10223,8013,NA,NA,Vulnerable Residents,18236,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,8,KE023,1. Access ECD spaces/schools,18236
May,Finn Church Aid,International NGO,UNHCR,Education,Secondary,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Junior Secondary and Secondary School learners supported to access schools,Finn Church Aid,Turkana,Turkana West,"Morning Star, Settlement, Friends, Joy, Future, Bright, Nationokar & Esikiriat Junior Secondary Schools and  Kalobeyei Settlement Seciondary school and Brightstar Integrated Secondary school.",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,3890,1667,NA,NA,Vulnerable Residents,5557,"JSS learners supported to access schools were 1,563 (936 Boys, 627 Girls), while Secondary school  learners were 3,994 (2,954 Boys, 1,667 Girls)",5W_ Consolidated_Edu_May 2023 Report.xlsx,10,KE023,1. Access ECD spaces/schools,5557
May,Finn Church Aid,International NGO,BPRM,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Learners benefitted from Menstrual Health Management sessions.,Finn Church Aid,Turkana,Turkana West,"Morning Star, Settlement, Friends, Joy, Future, Bright, Nationokar & Esikiriat Primary Schools",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,343,282,NA,NA,Vulnerable Residents,625,625 learners benefiited from Menstrual Health Management (MHM).,5W_ Consolidated_Edu_May 2023 Report.xlsx,8,KE023,6. Children resilience enhancing,625
May,Finn Church Aid,International NGO,BPRM,Education,Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Teachers trained on ICT integration,Finn Church Aid,Turkana,Turkana West,"Morning Star, Settlement, Friends, Joy, Future, Bright, Nationokar & Esikiriat Primary Schools",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,167,79,Vulnerable Residents,246,"The training aimed at equipping teachers with ICT skills in curriculum delivery, incorporating ICT in the CBC digital literacy aspect, cyber security, data management.",5W_ Consolidated_Edu_May 2023 Report.xlsx,8,KE023,5. Educators resilience enhancing,246
May,Finn Church Aid,International NGO,WUSC,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Learners sensitized on importance of education, discipline, goal setting and changes that occur in boys and girls during adolescents respectively",Finn Church Aid,Turkana,Turkana West,Joy Primary and Towakayeni primary schools,2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,58,15,NA,NA,Vulnerable Residents,73,"The training aimed at equipping teachers with ICT skills in curriculum delivery, incorporating ICT in the CBC digital literacy aspect, cyber security, data management.",5W_ Consolidated_Edu_May 2023 Report.xlsx,2,KE023,6. Children resilience enhancing,73
May,Finn Church Aid,International NGO,UNICEF,Education,Primary,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Learners trained on hygiene promotion, MHM and sensitization on water conservation in 9 schools in Samburu County",Finn Church Aid,Samburu,Samburu East,"Lorubae, Waso Muslim, Girgir, Kiltamany, Ntepes, Swari, Nairimirimo, Milimani, and Oromodei primary schools.",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,202,251,NA,NA,Vulnerable Residents,453,"453 learners sensitized on hygiene promotion, MHM and water conservation.",5W_ Consolidated_Edu_May 2023 Report.xlsx,10,KE025,6. Children resilience enhancing,453
May,Finn Church Aid,International NGO,UN ICEF,Education,Secondary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)","Teachers  trained on mentorship, mental health, and hygiene promotion.",Finn Church Aid,Samburu,Samburu East,"Nkaroni Girls, Tipito Girls, Sereolipi secondary, Uaso Girls",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,0,0,5,3,Vulnerable Residents,8,"The training aimed at equipping teachers with ICT skills in curriculum delivery, incorporating ICT in the CBC digital literacy aspect, cyber security, data management.",5W_ Consolidated_Edu_May 2023 Report.xlsx,4,KE025,5. Educators resilience enhancing,8
May,AVSI Foundation,International NGO,Italian Cooperation,Education,All Basic Education,"indicator 6 # of children and youth benefiting from resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",scouts support,AVSI Foundation,Garissa,Dadaab and Fafi,22 refugee schools and 11 host community schools,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,500,500,NA,NA,Refugees,1000,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,33,KE007,6. Children resilience enhancing,1000
May,AVSI Foundation,International NGO,Italian Cooperation,Education,All Basic Education,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",School Administrators training and scouts support,AVSI Foundation,Garissa,Dadaab and Fafi,22 refugee schools and 11 host community schools,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,70,10,Refugees,80,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,33,KE007,5. Educators resilience enhancing,80
May,Jesuit Refugee Service,International NGO,UNHCR,Education,Secondary,indicator 3 # of learners and teachers reached with learning and  teaching materials,Support to Secondary Education in Kakuma Refugee Camp,Jesuit Refugee Service,Turkana,Turkana West,"Kakuma Refugee, Greenlight Refugee, Starlight, Blue States, Somali Bantu, Vision, Kife Works Tumaini Girls Secondary Schools",2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,2791,1567,7098,3398,"Refugees, Host communities and teachers",14854,"Refugees - 14,270 (9,496 Boys, 4,774 Girls), Host - 285 (169 Boys, 116 Girls) & 299 (224 male, 75 female)",5W_ Consolidated_Edu_May 2023 Report.xlsx,7,KE023,3. Teaching materials,0
May,Voluntary Service Overseas,International NGO,FCDO,Education,ECE & Primary,"indicator 5 # of teachers / educators trained on resilience enhancing programmes (MHPSS, DRR & Life Skills, etc)",Training teachers on life skills,Voluntary Service Overseas,Turkana,Turkana West  Sub County,"Nang’olemaret, Lotaka, Naduat, Emilait, Lokangae, Joy, Future, Elliyes, Lokwanya,Kalemchuch Letea,Nationokar,  Kabokorit, Kakuma Mixed and Kalobeyei Host Primary schools",2023-05-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,NA,NA,24,18,Refugees,42,"The teachers were both refugees and kenyan teachers, from refugee camp schools and host schools",5W_ Consolidated_Edu_May 2023 Report.xlsx,14,KE023,5. Educators resilience enhancing,42
May,ChildFund Kenya,International NGO,ChildFund Korea,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,School Feeding,Nawiri Children Development Program,Marsabit,Saku,9,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,762,819,NA,NA,Vulnerable Residents,1581,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,9,KE010,2. Feeding programmes,1581
May,ChildFund Kenya,International NGO,ChildFund Australia,Education,ECE & Primary,indicator 2 # of schools/ECD spaces with feeding programmes,school Feeding,Frontiers Community Development Program,Turkana,Loima,3,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,244,247,NA,NA,Vulnerable Residents,491,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,3,KE023,2. Feeding programmes,491
May,ChildFund Kenya,International NGO,ChildFund Korea,Education,Primary,indicator 4 # of schools with adequate quantites of safe water for drinking and personal hygiene,Provision of Dignity Kits and Hygiene and sanitation sensitization,Nawiri Children Development Program,Marsabit,Saku,3,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,Completed,150,300,NA,NA,Vulnerable Residents,450,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,3,KE010,"4. Safe water, personal hygiene",0
April,Population Council,International NGO,Wellspring Philanthropic Fund,Education,All Basic Education,indicator 1 # of children and youth accessing ECD spaces/schools in drought affected areas,Household visits coupled with school re-entry policy sensitization (of families and schools) to foster out-of-school parenting and pregnant girls' return to school,Homa Bay County,Homa Bay,All subcounties,Not Specified,2022-01-01T00:00:00Z,2022-04-01T00:00:00Z,Completed,301,401,4000,1000,Vulnerable Residents,5702,NA,5W_ Consolidated_Edu_May 2023 Report.xlsx,1,KE043,1. Access ECD spaces/schools,5702
June,ChildFund Kenya,International NGO,ChildFund Korea,Education,ECE,indicator 2 # of schools/ECD spaces with feeding programmes,Provision of school meals to ECD Centres,Nawiri Children Development Program,Marsabit,Saku,"SKM ECD, Maikona primary, Marsabit Primary, Badasa, Hekima, St. Peters, Hulahula, Karare Primary, Gabodu",2023-01-01T00:00:00Z,2023-06-01T00:00:00Z,Completed,783,673,NA,NA,Vulnerable Residents,1456,NA,5W_ Education_ChildFund_Jun 2023 Report.xlsx,9,KE010,2. Feeding programmes,1456
